instrumentation_library,service_name,traceId,spanId,operation,kind,duration,span_status,http.status_code,parent.service_name,parent.operation,parent.kind
io.opentelemetry.spring-data-1.8,user-service,c45cd717253848584527358bf1147dd1,179786bfd3b2993a,FriendRelationRepository.havingFriend,1,2610083,1,,,,
io.opentelemetry.tomcat-10.0,user-service,c45cd717253848584527358bf1147dd1,486ebdf33a2e86e0,GET /user-service/friend/private/is-friend,2,5290390,1,200,chat-service,GET,3.0
io.opentelemetry.rabbitmq-2.7,websocket-service,c45cd717253848584527358bf1147dd1,b8457f06dd602304,50b0dc1d-f20f-4adc-b2f3-91efb3b8b849 process,5,184930,1,,,,
io.opentelemetry.spring-rabbit-1.0,websocket-service,c45cd717253848584527358bf1147dd1,d5dfd87b1f5c48b9,/topic/user.a4e804c8-60a1-7021-21ee-393fdfbe2492 process,5,53715753,1,,,,
io.opentelemetry.tomcat-10.0,chat-service,d3fdd35eb3ca0eedcdc3bcf4f59f874e,13858a29f54bcd5e,OPTIONS /chat-service/message/text_message,2,2986636,1,200,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,7aceb287d9183f7f662f543d0f904c02,4e520417f1f54660,basic.ack,3,271468,1,,,,
io.opentelemetry.tomcat-10.0,chat-service,c45cd717253848584527358bf1147dd1,7a4c9d05bc35af36,POST /chat-service/message/text_message,2,318251183,1,200,,,
io.opentelemetry.mongo-3.1,chat-service,c45cd717253848584527358bf1147dd1,cf79919e4e7e0783,insert chatdb.Message,3,48803234,1,,chat-service,POST /chat-service/message/text_message,2.0
io.opentelemetry.rabbitmq-2.7,chat-service,c45cd717253848584527358bf1147dd1,07cb6ac3b7c52b56,meetingteam-exchange publish,4,3687016,1,,chat-service,POST /chat-service/message/text_message,2.0
io.opentelemetry.rabbitmq-2.7,chat-service,c45cd717253848584527358bf1147dd1,284e9b4ca601954b,meetingteam-exchange publish,4,190601,1,,chat-service,POST /chat-service/message/text_message,2.0
io.opentelemetry.rabbitmq-2.7,websocket-service,c83bd02e939cc916674eb9cdc15d56d9,d17f212e00ac6092,basic.ack,3,184538,1,,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,6c60bf0a5b20544a4baac8f2e1245658,326295f92303c2c3,50b0dc1d-f20f-4adc-b2f3-91efb3b8b849 process,5,125170,1,,,,
io.opentelemetry.spring-rabbit-1.0,websocket-service,6c60bf0a5b20544a4baac8f2e1245658,f0e4465e1e5f2375,/topic/user.a4e804c8-60a1-7021-21ee-393fdfbe2492 process,5,3023452,1,,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,eb1291958c4135fc2ed2087ecf5a3351,b53749d4fc7bf709,basic.ack,3,324911,1,,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,7e3fe71816474c7529420d2647abf4ad,0d7b774d2e12d077,50b0dc1d-f20f-4adc-b2f3-91efb3b8b849 process,5,133277,1,,,,
io.opentelemetry.spring-rabbit-1.0,websocket-service,7e3fe71816474c7529420d2647abf4ad,faa620d855fb0171,/topic/user.a4e804c8-60a1-7021-21ee-393fdfbe2492 process,5,2250807,1,,,,
io.opentelemetry.tomcat-10.0,chat-service,7e3fe71816474c7529420d2647abf4ad,bd8ab073b2a08c59,PUT /chat-service/message/reaction,2,97273681,1,200,,,
io.opentelemetry.mongo-3.1,chat-service,7e3fe71816474c7529420d2647abf4ad,7c03e012ab10c43e,find chatdb.Message,3,39035893,1,,chat-service,PUT /chat-service/message/reaction,2.0
io.opentelemetry.mongo-3.1,chat-service,7e3fe71816474c7529420d2647abf4ad,27e2b49eeab51f6a,update chatdb.Message,3,42845599,1,,chat-service,PUT /chat-service/message/reaction,2.0
io.opentelemetry.rabbitmq-2.7,chat-service,7e3fe71816474c7529420d2647abf4ad,e6980da573f37900,meetingteam-exchange publish,4,371099,1,,chat-service,PUT /chat-service/message/reaction,2.0
io.opentelemetry.rabbitmq-2.7,chat-service,7e3fe71816474c7529420d2647abf4ad,292bf1877ccb7bbe,meetingteam-exchange publish,4,258638,1,,chat-service,PUT /chat-service/message/reaction,2.0
io.opentelemetry.tomcat-10.0,chat-service,02cfa4987e7eb172f9b11a6c26526051,c12035ffeac16caa,PUT /chat-service/message/reaction,2,96664622,1,200,,,
io.opentelemetry.mongo-3.1,chat-service,02cfa4987e7eb172f9b11a6c26526051,78b866b03d5be6b7,find chatdb.Message,3,38340056,1,,chat-service,PUT /chat-service/message/reaction,2.0
io.opentelemetry.mongo-3.1,chat-service,02cfa4987e7eb172f9b11a6c26526051,9194ae21c38935e6,update chatdb.Message,3,43341973,1,,chat-service,PUT /chat-service/message/reaction,2.0
io.opentelemetry.rabbitmq-2.7,chat-service,02cfa4987e7eb172f9b11a6c26526051,8768ce85087cd22a,meetingteam-exchange publish,4,345859,1,,chat-service,PUT /chat-service/message/reaction,2.0
io.opentelemetry.rabbitmq-2.7,chat-service,02cfa4987e7eb172f9b11a6c26526051,e4591a5288922155,meetingteam-exchange publish,4,270322,1,,chat-service,PUT /chat-service/message/reaction,2.0
io.opentelemetry.rabbitmq-2.7,websocket-service,02cfa4987e7eb172f9b11a6c26526051,16d23f3a30d256c7,50b0dc1d-f20f-4adc-b2f3-91efb3b8b849 process,5,290993,1,,chat-service,meetingteam-exchange publish,4.0
io.opentelemetry.spring-rabbit-1.0,websocket-service,02cfa4987e7eb172f9b11a6c26526051,9aca6cfe7496d325,/topic/user.a4e804c8-60a1-7021-21ee-393fdfbe2492 process,5,2033001,1,,chat-service,meetingteam-exchange publish,4.0
